75475,Randolph,Fannin County,148
75475,Randolph,Fannin County,148
75476,Ravenna,Fannin County,"1,056"
75476,Ravenna,Fannin County,"1,056"
75477,Roxton,Lamar County,"1,183"
75477,Roxton,Lamar County,"1,183"
75478,Saltillo,Hopkins County,"1,120"
75478,Saltillo,Hopkins County,"1,120"
75479,Savoy,Fannin County,"1,786"
75479,Savoy,Fannin County,"1,786"
75480,Scroggins,Franklin County,"1,587"
75480,Scroggins,Franklin County,"1,587"
75481,Sulphur Bluff,Hopkins County,314
75481,Sulphur Bluff,Hopkins County,314
75482,Sulphur Springs,Hopkins County,"24,984"
75482,Sulphur Springs,Hopkins County,"24,984"
75486,Sumner,Lamar County,"2,291"
75486,Sumner,Lamar County,"2,291"
75487,Talco,Franklin County,"2,106"
75487,Talco,Franklin County,"2,106"
75488,Telephone,Fannin County,645
75488,Telephone,Fannin County,645
75489,Tom Bean,Grayson County,"1,032"
75489,Tom Bean,Grayson County,"1,032"
75490,Trenton,Fannin County,"2,493"
75490,Trenton,Fannin County,"2,493"
75491,Whitewright,Grayson County,"5,064"
75491,Whitewright,Grayson County,"5,064"
75492,Windom,Fannin County,456
75492,Windom,Fannin County,456
75493,Winfield,Titus County,626
75493,Winfield,Titus County,626
75494,Winnsboro,Wood County,"9,940"
75494,Winnsboro,Wood County,"9,940"
75495,Van Alstyne,Grayson County,"8,729"
75495,Van Alstyne,Grayson County,"8,729"
75496,Wolfe City,Hunt County,"3,739"
75496,Wolfe City,Hunt County,"3,739"
75497,Yantis,Wood County,"3,907"
75497,Yantis,Wood County,"3,907"
75501,Texarkana,Bowie County,"36,094"
75501,Texarkana,Bowie County,"36,094"
75503,Texarkana,Bowie County,"25,517"
75503,Texarkana,Bowie County,"25,517"
75550,Annona,Red River County,681
75550,Annona,Red River County,681
75551,Atlanta,Cass County,"11,251"
75551,Atlanta,Cass County,"11,251"
75554,Avery,Red River County,"2,131"
75554,Avery,Red River County,"2,131"
75555,Bivins,Cass County,"1,579"
75555,Bivins,Cass County,"1,579"
75556,Bloomburg,Cass County,"1,214"
75556,Bloomburg,Cass County,"1,214"
75558,Cookville,Titus County,"1,582"
75558,Cookville,Titus County,"1,582"
75559,De Kalb,Bowie County,"5,122"
75559,De Kalb,Bowie County,"5,122"
75560,Douglassville,Cass County,"1,002"
75560,Douglassville,Cass County,"1,002"
75561,Hooks,Bowie County,"4,939"
75561,Hooks,Bowie County,"4,939"
75562,Kildare,Cass County,104
75562,Kildare,Cass County,104
75563,Linden,Cass County,"4,528"
75563,Linden,Cass County,"4,528"
75565,Mc Leod,Cass County,206
75565,Mc Leod,Cass County,206
75566,Marietta,Cass County,756
75566,Marietta,Cass County,756
75567,Maud,Bowie County,"4,824"
75567,Maud,Bowie County,"4,824"
75568,Naples,Morris County,"2,238"
75568,Naples,Morris County,"2,238"
75569,Nash,Bowie County,"3,464"
75569,Nash,Bowie County,"3,464"
75570,New Boston,Bowie County,"11,071"
75570,New Boston,Bowie County,"11,071"
75571,Omaha,Morris County,"3,134"
75571,Omaha,Morris County,"3,134"
75572,Queen City,Cass County,"3,896"
75572,Queen City,Cass County,"3,896"
75573,Redwater,Bowie County,115
75573,Redwater,Bowie County,115
75574,Simms,Bowie County,"1,659"
75574,Simms,Bowie County,"1,659"
75601,Longview,Gregg County,"15,719"
75601,Longview,Gregg County,"15,719"
75602,Longview,Gregg County,"21,655"
75602,Longview,Gregg County,"21,655"
75603,Longview,Gregg County,"6,100"
75603,Longview,Gregg County,"6,100"
75604,Longview,Gregg County,"31,027"
75604,Longview,Gregg County,"31,027"
75605,Longview,Gregg County,"30,501"
75605,Longview,Gregg County,"30,501"
75630,Avinger,Cass County,"2,370"
75630,Avinger,Cass County,"2,370"
75631,Beckville,Panola County,"3,248"
75631,Beckville,Panola County,"3,248"
75633,Carthage,Panola County,"13,161"
75633,Carthage,Panola County,"13,161"
75638,Daingerfield,Morris County,"5,505"
75638,Daingerfield,Morris County,"5,505"
75639,De Berry,Panola County,"2,926"
75639,De Berry,Panola County,"2,926"
75640,Diana,Upshur County,"4,859"
75640,Diana,Upshur County,"4,859"
75641,Easton,Gregg County,89
75641,Easton,Gregg County,89
75642,Elysian Fields,Harrison County,48
75642,Elysian Fields,Harrison County,48
75643,Gary,Panola County,"2,253"
75643,Gary,Panola County,"2,253"
75644,Gilmer,Upshur County,"13,427"
75644,Gilmer,Upshur County,"13,427"
75645,Gilmer,Upshur County,"10,797"
75645,Gilmer,Upshur County,"10,797"
75647,Gladewater,Gregg County,"13,712"
75647,Gladewater,Gregg County,"13,712"
75650,Hallsville,Harrison County,"9,837"
75650,Hallsville,Harrison County,"9,837"
75651,Harleton,Harrison County,"2,100"
75651,Harleton,Harrison County,"2,100"
75652,Henderson,Rusk County,"16,223"
75652,Henderson,Rusk County,"16,223"
75654,Henderson,Rusk County,"12,664"
75654,Henderson,Rusk County,"12,664"
75656,Hughes Springs,Cass County,"4,331"
75656,Hughes Springs,Cass County,"4,331"
75657,Jefferson,Marion County,"7,261"
75657,Jefferson,Marion County,"7,261"
75661,Karnack,Harrison County,"3,094"
75661,Karnack,Harrison County,"3,094"
75662,Kilgore,Gregg County,"24,976"
75662,Kilgore,Gregg County,"24,976"
75667,Laneville,Rusk County,"1,193"
75667,Laneville,Rusk County,"1,193"
75668,Lone Star,Morris County,"2,371"
75668,Lone Star,Morris County,"2,371"
75669,Long Branch,Panola County,762
75669,Long Branch,Panola County,762
75670,Marshall,Harrison County,"17,539"
75670,Marshall,Harrison County,"17,539"
75672,Marshall,Harrison County,"16,351"
75672,Marshall,Harrison County,"16,351"
75681,Mount Enterprise,Rusk County,"2,128"
75681,Mount Enterprise,Rusk County,"2,128"
75682,New London,Rusk County,578
75682,New London,Rusk County,578
75683,Ore City,Upshur County,"3,709"
75683,Ore City,Upshur County,"3,709"
75684,Overton,Rusk County,"7,894"
75684,Overton,Rusk County,"7,894"
75686,Pittsburg,Camp County,"13,184"
75686,Pittsburg,Camp County,"13,184"
75691,Tatum,Rusk County,"4,320"
75691,Tatum,Rusk County,"4,320"
75692,Waskom,Harrison County,"4,414"
75692,Waskom,Harrison County,"4,414"
75693,White Oak,Gregg County,"7,076"
75693,White Oak,Gregg County,"7,076"
75701,Tyler,Smith County,"35,858"
75701,Tyler,Smith County,"35,858"
75702,Tyler,Smith County,"27,698"
75702,Tyler,Smith County,"27,698"
75703,Tyler,Smith County,"42,777"
75703,Tyler,Smith County,"42,777"
75704,Tyler,Smith County,"10,199"
75704,Tyler,Smith County,"10,199"
75705,Tyler,Smith County,"2,762"
75705,Tyler,Smith County,"2,762"
75706,Tyler,Smith County,"10,449"
75706,Tyler,Smith County,"10,449"
75707,Tyler,Smith County,"14,232"
75707,Tyler,Smith County,"14,232"
75708,Tyler,Smith County,"7,698"
75708,Tyler,Smith County,"7,698"
75709,Tyler,Smith County,"4,731"
75709,Tyler,Smith County,"4,731"
75750,Arp,Smith County,"3,766"
75750,Arp,Smith County,"3,766"
75751,Athens,Henderson County,"17,084"
75751,Athens,Henderson County,"17,084"
75752,Athens,Henderson County,"6,998"
75752,Athens,Henderson County,"6,998"
75754,Ben Wheeler,Van Zandt County,"6,627"
75754,Ben Wheeler,Van Zandt County,"6,627"
75755,Big Sandy,Upshur County,"5,178"
75755,Big Sandy,Upshur County,"5,178"
75756,Brownsboro,Henderson County,"4,450"
75756,Brownsboro,Henderson County,"4,450"
75757,Bullard,Smith County,"12,802"
75757,Bullard,Smith County,"12,802"
75758,Chandler,Henderson County,"8,739"
75758,Chandler,Henderson County,"8,739"
75759,Cuney,Cherokee County,54
75759,Cuney,Cherokee County,54
75760,Cushing,Nacogdoches County,"2,066"
75760,Cushing,Nacogdoches County,"2,066"
75762,Flint,Smith County,"12,412"
75762,Flint,Smith County,"12,412"
75763,Frankston,Anderson County,"6,247"
75763,Frankston,Anderson County,"6,247"
75764,Gallatin,Cherokee County,187
